occurrence_no,name,diet,type,length_m,max_ma,min_ma,region,lng,lat,class,family,years
130294,Protarchaeopteryx,omnivorous,small theropod,2,130,122.46,Liaoning,120.73333,41.799999,Saurischia,Archaeopterygidae,126.22999999999999
130295,Caudipteryx,omnivorous,small theropod,1,130,122.46,Liaoning,120.73333,41.799999,Saurischia,Caudipterygidae,126.22999999999999
139242,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.528732,50.740726,Saurischia,Tyrannosauridae,77.05
139250,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.549347,50.737015,Saurischia,Tyrannosauridae,77.05
139252,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.564636,50.723866,Saurischia,Tyrannosauridae,77.05
139253,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.525337,50.740471,Saurischia,Tyrannosauridae,77.05
139254,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.601021,50.786999,Saurischia,Tyrannosauridae,77.05
139255,Albertosaurus,carnivorous,large theropod,9,72.1,66,Alberta,-112.981903,51.8046,Saurischia,Tyrannosauridae,69.05
139256,Albertosaurus,carnivorous,large theropod,9,70.6,66,Alberta,-112.981903,51.819099,Saurischia,Tyrannosauridae,68.3
139257,Albertosaurus,carnivorous,large theropod,9,83.5,70.6,Alberta,-112.818901,51.542702,Saurischia,Tyrannosauridae,77.05
139258,Albertosaurus,carnivorous,large theropod,9,83.5,70.6,Alberta,-112.8423,51.469898,Saurischia,Tyrannosauridae,77.05
139259,Albertosaurus,carnivorous,large theropod,9,83.5,70.6,Alberta,-112.702202,51.4408,Saurischia,Tyrannosauridae,77.05
139261,Daspletosaurus,carnivorous,large theropod,9,83.5,70.6,Alberta,-110.681999,49.083698,Saurischia,Tyrannosauridae,77.05
139262,Daspletosaurus,carnivorous,large theropod,9,83.5,70.6,Alberta,-111.511902,50.742401,Saurischia,Tyrannosauridae,77.05
139290,Daspletosaurus,carnivorous,large theropod,9,83.5,70.6,Alberta,-111.485008,50.751526,Saurischia,Tyrannosauridae,77.05
139291,Albertosaurus,carnivorous,large theropod,9,70.6,66,Alberta,-112.934799,51.928299,Saurischia,Tyrannosauridae,68.3
139292,Tyrannosaurus,carnivorous,large theropod,12,72.1,66,Alberta,-113.0289,51.906399,Saurischia,Tyrannosauridae,69.05
139293,Tyrannosaurus,carnivorous,large theropod,12,72.1,66,Alberta,-113.23333,51.933334,Saurischia,Tyrannosauridae,69.05
148629,Tarbosaurus,carnivorous,large theropod,10,72.1,66,Omnogov,99.599998,43.540001,Saurischia,Tyrannosauridae,69.05
149592,Allosaurus,carnivorous,large theropod,12,157.3,145,Wyoming,-106.041,41.893101,Saurischia,Allosauridae,151.15
149596,Allosaurus,carnivorous,large theropod,12,157.3,145,Wyoming,-106.389999,42.035831,Saurischia,Allosauridae,151.15
149598,Diplodocus,herbivorous,sauropod,26,157.3,145,Wyoming,-106.389999,42.035831,Saurischia,Diplodocidae,151.15
150175,Massospondylus,omnivorous,sauropod,4,201.3,190.8,Free State,28.623056,-28.509443,Saurischia,Massospondylidae,196.05
150240,Amargasaurus,herbivorous,sauropod,12,129.4,122.46,Neuquén,-70.194786,-39.481979,Saurischia,Dicraeosauridae,125.93
150311,Apatosaurus,herbivorous,sauropod,21,157.3,145,Colorado,-105.187332,39.653423,Saurischia,Diplodocidae,151.15
150350,Diplodocus,herbivorous,sauropod,26,157.3,145,Wyoming,-105.916199,42.152302,Saurischia,Diplodocidae,151.15
150351,Brontosaurus,herbivorous,sauropod,22,157.3,145,Wyoming,-105.916199,42.152302,Saurischia,Diplodocidae,151.15
219971,Diplodocus,herbivorous,sauropod,26,157.3,145,Wyoming,-106.048615,42.017776,Saurischia,Diplodocidae,151.15
219974,Brontosaurus,herbivorous,sauropod,22,157.3,145,Wyoming,-106.048615,42.017776,Saurischia,Diplodocidae,151.15
219975,Allosaurus,carnivorous,large theropod,12,157.3,145,Wyoming,-106.048615,42.017776,Saurischia,Allosauridae,151.15
219998,Tyrannosaurus,carnivorous,large theropod,12,83.5,70.6,Alberta,-111.525871,50.728848,Saurischia,Tyrannosauridae,77.05
220009,Tyrannosaurus,carnivorous,large theropod,12,83.5,70.6,Alberta,-111.524582,50.727234,Saurischia,Tyrannosauridae,77.05
220011,Velociraptor,carnivorous,small theropod,1.8,83.5,70.6,Alberta,-111.524582,50.727234,Saurischia,Dromaeosauridae,77.05
220028,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.484657,50.750553,Saurischia,Tyrannosauridae,77.05
220055,Diplodocus,herbivorous,sauropod,26,155.7,145,Wyoming,-108.199997,43.630001,Saurischia,Diplodocidae,150.35
220058,Allosaurus,carnivorous,large theropod,12,155.7,145,Wyoming,-108.199997,43.630001,Saurischia,Allosauridae,150.35
220060,Barosaurus,herbivorous,sauropod,24,155.7,145,Wyoming,-108.199997,43.630001,Saurischia,Diplodocidae,150.35
220070,Plateosaurus,herbivorous,sauropod,7,228,208.5,Aargau,8.016667,47.5,Saurischia,Plateosauridae,218.25
220082,Plateosaurus,herbivorous,sauropod,7,228,208.5,Baden-Württemberg,8.65,48.066669,Saurischia,Plateosauridae,218.25
220090,Velociraptor,carnivorous,small theropod,1.8,83.5,70.6,Omnogov,103.333336,44.25,Saurischia,Dromaeosauridae,77.05
220099,Troodon,carnivorous,small theropod,2,85.8,70.6,Montana,-113.75,48.633301,Saurischia,Troodontidae,78.19999999999999
